Activity ID,Activity Name,Type,Partner Nation,Start Date,End Date,Location,Lead Component,Personnel (U.S.),Personnel (Partner),Status,Priority,Budget ($K),Directorate Lead,Notes
TSC-2026-001,Balikatan 2026,Bilateral Exercise,Philippines,14-Apr-2026,28-Apr-2026,"Luzon, Philippines",USARPAC,3500,5000,Planning,High,12500,J3/J7,Annual bilateral exercise; largest in the Pacific
TSC-2026-002,Cobra Gold 2026,Multilateral Exercise,Thailand,22-Feb-2026,08-Mar-2026,"Kanchanaburi, Thailand",USARPAC,2800,7200,Complete,High,8900,J3/J7,7 participating nations plus observers
TSC-2026-003,Rim of the Pacific 2026,Multilateral Exercise,Multiple (29 nations),24-Jun-2026,04-Aug-2026,"Hawaii, SOCAL",COMPACFLT,8000,17000,Planning,Critical,48000,J3/J7,World's largest maritime exercise
TSC-2026-004,Talisman Sabre 2026,Bilateral Exercise,Australia,14-Jul-2026,28-Jul-2026,"Queensland, Australia",USMC Forces Pacific,4200,6800,Planning,High,15200,J3/J7,Biennial exercise with ADF
TSC-2026-005,Orient Shield 2026,Bilateral Exercise,Japan,02-Jun-2026,18-Jun-2026,"Camp Fuji, Japan",USARJ,1200,2400,Planning,High,4800,J3/J7,Army-to-army bilateral
TSC-2026-006,Pacific Airlift Rally,Multilateral Exercise,Multiple (8 nations),10-Sep-2026,18-Sep-2026,"Guam, CNMI",PACAF,450,380,Planning,Medium,2200,J3/J7,Airlift and airdrop operations
TSC-2026-007,CARAT Philippines,Bilateral Exercise,Philippines,08-May-2026,16-May-2026,"Subic Bay, Philippines",COMPACFLT,600,800,Planning,Medium,1800,J3,Cooperation Afloat Readiness and Training
TSC-2026-008,Keen Edge 26,Bilateral CPX,Japan,22-Jan-2026,02-Feb-2026,"Yokota AB, Japan",USFJ,500,700,Complete,High,1200,J3/J5,Command post exercise with JSDF
TSC-2026-009,Pacific Partnership 2026,Humanitarian Mission,Multiple (5 nations),15-Mar-2026,15-Jul-2026,"SEA/Oceania",COMPACFLT,350,200,In Progress,Medium,6500,J9/J4,Annual humanitarian civic assistance
TSC-2026-010,Malabar 2026,Multilateral Exercise,India/Japan/Australia,18-Oct-2026,28-Oct-2026,"Bay of Bengal",COMPACFLT,1800,3200,Planning,High,7800,J3,Quad naval exercise
TSC-2026-011,Super Garuda Shield,Multilateral Exercise,Indonesia,01-Aug-2026,14-Aug-2026,"East Java, Indonesia",USARPAC,2000,4500,Planning,High,5600,J3/J7,Expanded multilateral format since 2022
TSC-2026-012,Pitch Black 2026,Multilateral Exercise,Australia,22-Jul-2026,10-Aug-2026,"Darwin, Australia",PACAF,1600,2800,Planning,Medium,4200,J3,Air combat training exercise
TSC-2026-013,SALAKNIB 2026,Bilateral Exercise,Philippines,07-Mar-2026,21-Mar-2026,"Fort Magsaysay, Philippines",USARPAC,800,1200,Complete,Medium,2800,J3/J7,Army bilateral live-fire exercise
TSC-2026-014,Freedom Edge 2026,Trilateral Exercise,Japan/South Korea,12-Nov-2026,18-Nov-2026,"Sea of Japan",COMPACFLT,1200,2000,Planning,High,3600,J3,Trilateral missile defense and ASW
TSC-2026-015,Pacific Sentry 2026,CPX/TTX,Multiple (4 nations),04-May-2026,08-May-2026,"Camp H.M. Smith, HI",USINDOPACOM,300,120,Planning,High,900,J5/J3,Senior leader seminar and tabletop exercise
